"SID","lat","lon","elev","name"
4300000001,64.2500,19.7666,267,"Svartberget"
4300000002,56.1000,12.4166,115,"Hyltemossa"
4300000003,44.4936,-0.95608,40,"Bilos"
4300000004,60.08333,17.48333,46,"Norunda"
4300000005,39.940556,-5.774722,258,"Majadas_south"
4300000006,43.572857,1.37474,158,"Meteopole"
4300000007,52.1664833,-5.7435194,25,"Loobos"

